condition_index,condition_name,run_id,seed,structure,leader_style,population_size,max_iterations,adaptive_intimacy,use_rl_leader,num_interventions,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,mean_rl_reward,mean_rl_quality
2,,37,16,random,High_Fully_Constrained,11,235,True,True,187,-0.7129338559740643,-0.9978862707304749,-0.16933936974635586,-0.0023119641795120755,-0.6808832061077102
2,,38,17,random,High_Fully_Constrained,11,235,True,True,0,-0.05156543629234175,-0.07623333329449881,-0.013947629342814374,0.0007902873960595802,-0.1721062896176651
2,,39,18,random,High_Fully_Constrained,11,235,True,True,0,-7.330488763109295e-06,-1.3688247481169841e-05,-6.931231778808861e-07,0.0009697067774183997,-0.02002667235103856
2,,40,19,random,High_Fully_Constrained,11,235,True,True,0,-0.024423813391786394,-0.04296332119489424,-0.009824844393228758,0.0007860759975424792,-0.07047927562798877
3,,41,0,random,Low_Fully_Constrained,11,235,True,True,54,-0.7016300060609394,-0.9999024998375247,-0.18376896140220214,-0.0022102464343762597,-0.6631480461745571
3,,42,1,random,Low_Fully_Constrained,11,235,True,True,0,-0.18243690979265967,-0.5710109229700328,-0.05985575403930665,-6.410119873872062e-05,-0.2239791684148421
3,,43,2,random,Low_Fully_Constrained,11,235,True,True,177,-0.7683125433415972,-0.9996770453251823,-0.23199789315717767,-0.0025027333747057222,-0.7399087025222436
3,,44,3,random,Low_Fully_Constrained,11,235,True,True,0,-0.4689022570948415,-1.0,-0.05019375152031482,-0.0012963780777613043,-0.4845320699971431
3,,45,4,random,Low_Fully_Constrained,11,235,True,True,0,-0.01702011250386209,-0.02965294075543194,-0.0066936756528940475,0.0010645270864182844,-0.0875112516366861
3,,46,5,random,Low_Fully_Constrained,11,235,True,True,90,-0.7105077401845153,-0.9998309705820266,-0.287351642128497,-0.0023315277632524572,-0.631097064377927
3,,47,6,random,Low_Fully_Constrained,11,235,True,True,0,-0.2533133049516192,-0.4098249847017784,-0.1508397454753236,-0.0002420589836213184,-0.20070190533214535
3,,48,7,random,Low_Fully_Constrained,11,235,True,True,6,-0.6980484687364074,-1.0,-0.15033969070709885,-0.00233440146637847,-0.45442760145880345
3,,49,8,random,Low_Fully_Constrained,11,235,True,True,0,-0.0010833415226264213,-0.0025211008390888627,-0.0006423117371874301,0.001223017043522016,-0.055914507280706335
3,,50,9,random,Low_Fully_Constrained,11,235,True,True,0,-0.660424988656365,-1.0,-0.1752062163560423,-0.001903517529782125,-0.6673773310485375
3,,51,10,random,Low_Fully_Constrained,11,235,True,True,198,-0.8688698796119916,-0.9900353422189446,-0.5485673920811962,-0.0029869394977122227,-0.8318597128450037
3,,52,11,random,Low_Fully_Constrained,11,235,True,True,0,-0.038046876429559166,-0.07984683446295342,-0.013624051071632812,0.0009673499502037619,-0.0757474464082856
3,,53,12,random,Low_Fully_Constrained,11,235,True,True,194,-0.8245068030306861,-0.9993236389936879,-0.24819304893343397,-0.0024870081008567715,-0.775930977080579
3,,54,13,random,Low_Fully_Constrained,11,235,True,True,28,-0.7030356792769427,-0.998238518915497,-0.17713898610766815,-0.0021010446985169446,-0.6707794424743512
3,,55,14,random,Low_Fully_Constrained,11,235,True,True,185,-0.8844047196190641,-0.9975055705516738,-0.6250054495016257,-0.003094581187937785,-0.7820560421110759
3,,56,15,random,Low_Fully_Constrained,11,235,True,True,147,-0.7519249246235742,-0.9922526091763805,-0.08842411390416442,-0.002370967921611739,-0.7465174405773024
3,,57,16,random,Low_Fully_Constrained,11,235,True,True,165,-0.709440410117883,-1.0,-0.1687372698853919,-0.0023172667995390167,-0.6832346564161975
3,,58,17,random,Low_Fully_Constrained,11,235,True,True,0,-0.05156543629234175,-0.07623333329449881,-0.013947629342814374,0.0007902873960595802,-0.1721062896176651
3,,59,18,random,Low_Fully_Constrained,11,235,True,True,0,-7.330488763109295e-06,-1.3688247481169841e-05,-6.931231778808861e-07,0.0009697067774183997,-0.02002667235103856
3,,60,19,random,Low_Fully_Constrained,11,235,True,True,0,-0.024423813391786394,-0.04296332119489424,-0.009824844393228758,0.0007860759975424792,-0.07047927562798877
4,,61,0,random,High_Initially_Constrained,11,235,True,True,184,-0.6760096041308576,-0.9996880116481195,-0.15695105482200664,-0.0021088735972952547,-0.6432380444432256
4,,62,1,random,High_Initially_Constrained,11,235,True,True,0,-0.18243690979265967,-0.5710109229700328,-0.05985575403930665,-6.410119873872062e-05,-0.2239791684148421
4,,63,2,random,High_Initially_Constrained,11,235,True,True,195,-0.7619168726957354,-0.9996770453251823,-0.23687486322678347,-0.002471846405004905,-0.7395956182664024
4,,64,3,random,High_Initially_Constrained,11,235,True,True,0,-0.4689022570948415,-1.0,-0.05019375152031482,-0.0012963780777613043,-0.4845320699971431
4,,65,4,random,High_Initially_Constrained,11,235,True,True,0,-0.01702011250386209,-0.02965294075543194,-0.0066936756528940475,0.0010645270864182844,-0.0875112516366861
4,,66,5,random,High_Initially_Constrained,11,235,True,True,166,-0.6716602497381318,-0.9993238823281066,-0.2657229419393948,-0.0021546323112047717,-0.5771896771140705
4,,67,6,random,High_Initially_Constrained,11,235,True,True,0,-0.2533133049516192,-0.4098249847017784,-0.1508397454753236,-0.0002420589836213184,-0.20070190533214535
4,,68,7,random,High_Initially_Constrained,11,235,True,True,83,-0.6303007384180648,-1.0,-0.14580370082854877,-0.00201608738510777,-0.43406240193371376
4,,69,8,random,High_Initially_Constrained,11,235,True,True,0,-0.0010833415226264213,-0.0025211008390888627,-0.0006423117371874301,0.001223017043522016,-0.055914507280706335
4,,70,9,random,High_Initially_Constrained,11,235,True,True,210,-0.6394182049954609,-0.9976201103849414,-0.16456407865835096,-0.0017794044632603813,-0.6433271620789196
4,,71,10,random,High_Initially_Constrained,11,235,True,True,205,-0.8680457963398617,-0.9991451967332032,-0.5429963545107108,-0.0030077041352355454,-0.8292542034490336
4,,72,11,random,High_Initially_Constrained,11,235,True,True,0,-0.038046876429559166,-0.07984683446295342,-0.013624051071632812,0.0009673499502037619,-0.0757474464082856
4,,73,12,random,High_Initially_Constrained,11,235,True,True,201,-0.8141827659385978,-0.9992044818045489,-0.23463213490342794,-0.0024343936182235314,-0.7722148517024391
4,,74,13,random,High_Initially_Constrained,11,235,True,True,188,-0.63444133331618,-0.9995596297288742,-0.16106625028086624,-0.0018209513217160606,-0.610878426622834
4,,75,14,random,High_Initially_Constrained,11,235,True,True,187,-0.8826585899519508,-0.9988208751095091,-0.6001676808245772,-0.003079055494917768,-0.7768750540653072
4,,76,15,random,High_Initially_Constrained,11,235,True,True,213,-0.7486470234245713,-0.9977134015061131,-0.08798068017352945,-0.0023844549983193645,-0.7426405825041144
4,,77,16,random,High_Initially_Constrained,11,235,True,True,187,-0.7129338559740643,-0.9978862707304749,-0.16933936974635586,-0.0023119641795120755,-0.6808832061077102
4,,78,17,random,High_Initially_Constrained,11,235,True,True,0,-0.05156543629234175,-0.07623333329449881,-0.013947629342814374,0.0007902873960595802,-0.1721062896176651
4,,79,18,random,High_Initially_Constrained,11,235,True,True,0,-7.330488763109295e-06,-1.3688247481169841e-05,-6.931231778808861e-07,0.0009697067774183997,-0.02002667235103856
4,,80,19,random,High_Initially_Constrained,11,235,True,True,0,-0.024423813391786394,-0.04296332119489424,-0.009824844393228758,0.0007860759975424792,-0.07047927562798877
5,,81,0,random,Low_Initially_Constrained,11,235,True,True,82,-0.6868163705565938,-0.9998439997400395,-0.15795429087186916,-0.0021442811601606795,-0.6553093565856494
5,,82,1,random,Low_Initially_Constrained,11,235,True,True,0,-0.18243690979265967,-0.5710109229700328,-0.05985575403930665,-6.410119873872062e-05,-0.2239791684148421
5,,83,2,random,Low_Initially_Constrained,11,235,True,True,177,-0.7683125433415972,-0.9996770453251823,-0.23199789315717767,-0.0025027333747057222,-0.7399087025222436
5,,84,3,random,Low_Initially_Constrained,11,235,True,True,0,-0.4689022570948415,-1.0,-0.05019375152031482,-0.0012963780777613043,-0.4845320699971431
5,,85,4,random,Low_Initially_Constrained,11,235,True,True,0,-0.01702011250386209,-0.02965294075543194,-0.0066936756528940475,0.0010645270864182844,-0.0875112516366861
5,,86,5,random,Low_Initially_Constrained,11,235,True,True,113,-0.6895233368992291,-0.998901451637894,-0.2795588919603133,-0.002236960280393117,-0.6250517752434309
5,,87,6,random,Low_Initially_Constrained,11,235,True,True,0,-0.2533133049516192,-0.4098249847017784,-0.1508397454753236,-0.0002420589836213184,-0.20070190533214535
5,,88,7,random,Low_Initially_Constrained,11,235,True,True,14,-0.686882657113818,-0.9967260649469561,-0.14774343359237516,-0.0022585340215733247,-0.45387073913546616
5,,89,8,random,Low_Initially_Constrained,11,235,True,True,0,-0.0010833415226264213,-0.0025211008390888627,-0.0006423117371874301,0.001223017043522016,-0.055914507280706335
5,,90,9,random,Low_Initially_Constrained,11,235,True,True,0,-0.660424988656365,-1.0,-0.1752062163560423,-0.001903517529782125,-0.6673773310485375
5,,91,10,random,Low_Initially_Constrained,11,235,True,True,198,-0.8688698796119916,-0.9900353422189446,-0.5485673920811962,-0.0029869394977122227,-0.8318597128450037
5,,92,11,random,Low_Initially_Constrained,11,235,True,True,0,-0.038046876429559166,-0.07984683446295342,-0.013624051071632812,0.0009673499502037619,-0.0757474464082856
5,,93,12,random,Low_Initially_Constrained,11,235,True,True,194,-0.8245068030306861,-0.9993236389936879,-0.24819304893343397,-0.0024870081008567715,-0.775930977080579
5,,94,13,random,Low_Initially_Constrained,11,235,True,True,68,-0.6716845675099559,-0.9988990743221856,-0.1703275095522374,-0.0019707409808223364,-0.6632180438023954
5,,95,14,random,Low_Initially_Constrained,11,235,True,True,185,-0.8844047196190641,-0.9975055705516738,-0.6250054495016257,-0.003094581187937785,-0.7820560421110759
5,,96,15,random,Low_Initially_Constrained,11,235,True,True,153,-0.7536236155167538,-0.9974141946382509,-0.08787607692044822,-0.0023803521514347953,-0.7455743420758988
5,,97,16,random,Low_Initially_Constrained,11,235,True,True,172,-0.7223655793464729,-0.9978862707304749,-0.17136139285900379,-0.002333244446472938,-0.6828937358002551
5,,98,17,random,Low_Initially_Constrained,11,235,True,True,0,-0.05156543629234175,-0.07623333329449881,-0.013947629342814374,0.0007902873960595802,-0.1721062896176651
