condition_index,condition_name,run_id,seed,structure,leader_style,population_size,max_iterations,adaptive_intimacy,use_rl_leader,num_interventions,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,mean_rl_reward,mean_rl_quality
1,,1,0,random,No_Intervention,15,420,True,True,0,-0.8078731074848599,-1.0,-0.21262627387816627,,
1,,2,1,random,No_Intervention,15,420,True,True,0,-0.4671723743399697,-1.0,-0.09151108589014202,,
1,,3,2,random,No_Intervention,15,420,True,True,0,-0.6542187240886277,-1.0,-0.1729711662724851,,
1,,4,3,random,No_Intervention,15,420,True,True,0,-0.5411617605450546,-1.0,-0.06103707805963422,,
1,,5,4,random,No_Intervention,15,420,True,True,0,-0.6209912142141812,-1.0,-0.13808986598909245,,
1,,6,5,random,No_Intervention,15,420,True,True,0,-0.6436054313511946,-1.0,-0.13262123236853465,,
1,,7,6,random,No_Intervention,15,420,True,True,0,-0.7385958825788528,-1.0,-0.13483478929376286,,
1,,8,7,random,No_Intervention,15,420,True,True,0,-0.7376587105201688,-1.0,-0.2212153395509465,,
1,,9,8,random,No_Intervention,15,420,True,True,0,-0.5234320028616779,-1.0,-0.21349269059274187,,
1,,10,9,random,No_Intervention,15,420,True,True,0,-0.7897956509417534,-1.0,-0.1997512072928475,,
1,,11,10,random,No_Intervention,15,420,True,True,0,-0.7197164324350517,-1.0,-0.33117202072339813,,
1,,12,11,random,No_Intervention,15,420,True,True,0,-0.47997955388951147,-1.0,-0.11193037004813636,,
1,,13,12,random,No_Intervention,15,420,True,True,0,-0.7291050021715847,-1.0,-0.20533426149548875,,
2,,14,0,random,High_Fully_Constrained,15,420,True,True,369,-0.7859133497424932,-0.9997418742045654,-0.16266038930330207,-0.00143622262835797,-0.7870806841360194
2,,15,1,random,High_Fully_Constrained,15,420,True,True,0,-0.4671723743399697,-1.0,-0.09151108589014202,-0.0008787834835719858,-0.4872179232567961
2,,16,2,random,High_Fully_Constrained,15,420,True,True,361,-0.6262728113784535,-0.9994824560833029,-0.13276607289128345,-0.001156793072205921,-0.6343646825849445
2,,17,3,random,High_Fully_Constrained,15,420,True,True,327,-0.5266742350584999,-0.9989254204154648,-0.04994324142435967,-0.0009014561027979751,-0.5688289479361894
2,,18,4,random,High_Fully_Constrained,15,420,True,True,345,-0.5997459610308994,-0.9990685921495174,-0.12284737243553506,-0.0008502403471093198,-0.6106202730051649
2,,19,5,random,High_Fully_Constrained,15,420,True,True,181,-0.5284679221000829,-0.9959266124169547,-0.10818390866479456,-0.0008011336556441523,-0.46302517169632246
2,,20,6,random,High_Fully_Constrained,15,420,True,True,284,-0.7046122533458735,-0.9998403252702665,-0.048216237252600616,-0.0013234323399800817,-0.5706234747929952
2,,21,7,random,High_Fully_Constrained,15,420,True,True,324,-0.69610191696575,-0.9957161341115713,-0.194062938801562,-0.0011812516157547475,-0.6273422972734722
2,,22,8,random,High_Fully_Constrained,15,420,True,True,118,-0.5010376482859271,-1.0,-0.199171344705813,-0.0005918623657741997,-0.4524789984026198
2,,23,9,random,High_Fully_Constrained,15,420,True,True,380,-0.7504277700659315,-0.9945896397938055,-0.17994565346744398,-0.0012964660725840597,-0.7185556692411342
2,,24,10,random,High_Fully_Constrained,15,420,True,True,373,-0.6944790762665465,-0.9962370438223941,-0.3047571704282176,-0.0013421641282423595,-0.6754163086506082
2,,25,11,random,High_Fully_Constrained,15,420,True,True,0,-0.47997955388951147,-1.0,-0.11193037004813636,-0.000660686760622999,-0.4413121019976104
2,,26,12,random,High_Fully_Constrained,15,420,True,True,374,-0.7116731272752012,-0.9998409653550914,-0.19018471946707802,-0.0012134530027679148,-0.7287564964306087
3,,27,0,random,Low_Fully_Constrained,15,420,True,True,363,-0.7847981068947789,-0.9997418742045654,-0.17878499198902562,-0.0014320705802367216,-0.7895766985486756
3,,28,1,random,Low_Fully_Constrained,15,420,True,True,0,-0.4671723743399697,-1.0,-0.09151108589014202,-0.0008787834835719858,-0.4872179232567961
3,,29,2,random,Low_Fully_Constrained,15,420,True,True,0,-0.6542187240886277,-1.0,-0.1729711662724851,-0.0012167630359926065,-0.6506559146478805
3,,30,3,random,Low_Fully_Constrained,15,420,True,True,0,-0.5411617605450546,-1.0,-0.06103707805963422,-0.0009399318327754475,-0.5838528511823187
3,,31,4,random,Low_Fully_Constrained,15,420,True,True,0,-0.6209912142141812,-1.0,-0.13808986598909245,-0.000903956650003613,-0.6317365033118149
3,,32,5,random,Low_Fully_Constrained,15,420,True,True,0,-0.6436054313511946,-1.0,-0.13262123236853465,-0.0010927587761749775,-0.5091711764927627
3,,33,6,random,Low_Fully_Constrained,15,420,True,True,102,-0.7135761223436966,-0.9998403252702665,-0.07775585304705995,-0.001340787685519305,-0.5890210001602144
3,,34,7,random,Low_Fully_Constrained,15,420,True,True,123,-0.7065018874851591,-0.997836567378106,-0.21469098808477283,-0.0012034107597181716,-0.6515491977377696
3,,35,8,random,Low_Fully_Constrained,15,420,True,True,0,-0.5234320028616779,-1.0,-0.21349269059274187,-0.0006435434877141144,-0.4641743506743587
3,,36,9,random,Low_Fully_Constrained,15,420,True,True,223,-0.7526542369183536,-0.9972929879183001,-0.16893837815903695,-0.0013042709476233842,-0.7359799167984052
3,,37,10,random,Low_Fully_Constrained,15,420,True,True,229,-0.7038001098468386,-0.9986161020767499,-0.31224631427433625,-0.0013672726469068598,-0.6896727215290906
3,,38,11,random,Low_Fully_Constrained,15,420,True,True,0,-0.47997955388951147,-1.0,-0.11193037004813636,-0.000660686760622999,-0.4413121019976104
3,,39,12,random,Low_Fully_Constrained,15,420,True,True,330,-0.7143480539161432,-0.9998409653550914,-0.18925883973948807,-0.0012229517866815878,-0.7317150690663765
4,,40,0,random,High_Initially_Constrained,15,420,True,True,369,-0.7859133497424932,-0.9997418742045654,-0.16266038930330207,-0.00143622262835797,-0.7870806841360194
4,,41,1,random,High_Initially_Constrained,15,420,True,True,0,-0.4671723743399697,-1.0,-0.09151108589014202,-0.0008787834835719858,-0.4872179232567961
4,,42,2,random,High_Initially_Constrained,15,420,True,True,361,-0.6262728113784535,-0.9994824560833029,-0.13276607289128345,-0.001156793072205921,-0.6343646825849445
4,,43,3,random,High_Initially_Constrained,15,420,True,True,338,-0.5268167474774119,-0.9978514181915715,-0.05338364101454175,-0.0009009104798282007,-0.5691265153742195
4,,44,4,random,High_Initially_Constrained,15,420,True,True,345,-0.5997459610308994,-0.9990685921495174,-0.12284737243553506,-0.0008502403471093198,-0.6106202730051649
4,,45,5,random,High_Initially_Constrained,15,420,True,True,199,-0.5168525904551701,-0.9933859303295519,-0.10157282585144536,-0.0007775270935758421,-0.45899465111882604
4,,46,6,random,High_Initially_Constrained,15,420,True,True,284,-0.7046122533458735,-0.9998403252702665,-0.048216237252600616,-0.0013234323399800817,-0.5706234747929952
