condition_index,condition_name,run_id,seed,n_agents,leader_index,leader_style,structure,max_iterations,adaptive_intimacy,num_interventions,intervention_timesteps,total_interactions,mean_interactions_per_timestep,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,leader_emotion,leader_threshold,leader_emotion_management_ability
1,community_high,1,1,11,0,High_Initially_Constrained,community,50,False,0,[],300,6.0,-0.3316297120341719,-0.6803656826225799,-0.11094070733321998,1.0,-0.5,High
1,community_high,2,2,11,5,High_Initially_Constrained,community,50,False,21,"[29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",282,5.64,-0.6863236107651958,-0.9981658076660201,-0.21623199090845724,1.0,-0.5,High
1,community_high,3,3,11,10,High_Initially_Constrained,community,50,False,0,[],315,6.3,-0.4089198640005046,-1.0,-0.08731875786771073,1.0,-0.5,High
2,random_none,4,1,11,0,No_Intervention,random,50,False,0,[],275,5.5,-0.2137511855535878,-0.40169577883990865,-0.07319343790562939,1.0,,None
2,random_none,5,2,11,5,No_Intervention,random,50,False,0,[],303,6.06,-0.7565960621285915,-1.0,-0.29266369303253786,1.0,,None
2,random_none,6,3,11,10,No_Intervention,random,50,False,0,[],329,6.58,-0.42714729468815876,-1.0,-0.08301549511793456,1.0,,None
3,core_periphery_low,7,1,11,0,Low_Initially_Constrained,core_periphery,50,False,0,[],274,5.48,-0.21528205354331767,-0.407891560376594,-0.07415401805114254,1.0,-0.7,Low
3,core_periphery_low,8,2,11,5,Low_Initially_Constrained,core_periphery,50,False,15,"[34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",301,6.02,-0.7225827957820702,-0.9996770453251823,-0.2763219025753379,1.0,-0.7,Low
3,core_periphery_low,9,3,11,10,Low_Initially_Constrained,core_periphery,50,False,0,[],325,6.5,-0.4257995466154621,-1.0,-0.08265437270366302,1.0,-0.7,Low
