condition_index,condition_name,run_id,seed,structure,leader_style,population_size,max_iterations,adaptive_intimacy,use_rl_leader,num_interventions,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,mean_rl_reward,mean_rl_quality
1,structure_random__leader_style_No_Intervention,1,0,random,No_Intervention,11,235,True,False,0,-0.7122039130783067,-1.0,-0.20075274578409838,,
1,structure_random__leader_style_No_Intervention,2,1,random,No_Intervention,11,235,True,False,0,-0.18243690979265967,-0.5710109229700328,-0.05985575403930665,,
1,structure_random__leader_style_No_Intervention,3,2,random,No_Intervention,11,235,True,False,0,-0.7949501414972852,-1.0,-0.2642268051469684,,
1,structure_random__leader_style_No_Intervention,4,3,random,No_Intervention,11,235,True,False,0,-0.4689022570948415,-1.0,-0.05019375152031482,,
1,structure_random__leader_style_No_Intervention,5,4,random,No_Intervention,11,235,True,False,0,-0.01702011250386209,-0.02965294075543194,-0.0066936756528940475,,
1,structure_random__leader_style_No_Intervention,6,5,random,No_Intervention,11,235,True,False,0,-0.7581847532915151,-1.0,-0.31716919797064697,,
1,structure_random__leader_style_No_Intervention,7,6,random,No_Intervention,11,235,True,False,0,-0.2533133049516192,-0.4098249847017784,-0.1508397454753236,,
1,structure_random__leader_style_No_Intervention,8,7,random,No_Intervention,11,235,True,False,0,-0.7076791185993764,-1.0,-0.14868041296455464,,
1,structure_random__leader_style_No_Intervention,9,8,random,No_Intervention,11,235,True,False,0,-0.0010833415226264213,-0.0025211008390888627,-0.0006423117371874301,,
1,structure_random__leader_style_No_Intervention,10,9,random,No_Intervention,11,235,True,False,0,-0.660424988656365,-1.0,-0.1752062163560423,,
1,structure_random__leader_style_No_Intervention,11,10,random,No_Intervention,11,235,True,False,0,-0.8897028561821937,-1.0,-0.5958426650093469,,
1,structure_random__leader_style_No_Intervention,12,11,random,No_Intervention,11,235,True,False,0,-0.038046876429559166,-0.07984683446295342,-0.013624051071632812,,
1,structure_random__leader_style_No_Intervention,13,12,random,No_Intervention,11,235,True,False,0,-0.8349727959434559,-1.0,-0.26063823054213925,,
1,structure_random__leader_style_No_Intervention,14,13,random,No_Intervention,11,235,True,False,0,-0.7278180373516813,-1.0,-0.18187006869433767,,
1,structure_random__leader_style_No_Intervention,15,14,random,No_Intervention,11,235,True,False,0,-0.9386826419077179,-1.0,-0.7510220056429023,,
1,structure_random__leader_style_No_Intervention,16,15,random,No_Intervention,11,235,True,False,0,-0.765904129986746,-1.0,-0.09129707572165521,,
1,structure_random__leader_style_No_Intervention,17,16,random,No_Intervention,11,235,True,False,0,-0.7500959587628867,-1.0,-0.20975358066638553,,
1,structure_random__leader_style_No_Intervention,18,17,random,No_Intervention,11,235,True,False,0,-0.05156543629234175,-0.07623333329449881,-0.013947629342814374,,
1,structure_random__leader_style_No_Intervention,19,18,random,No_Intervention,11,235,True,False,0,-7.330488763109295e-06,-1.3688247481169841e-05,-6.931231778808861e-07,,
1,structure_random__leader_style_No_Intervention,20,19,random,No_Intervention,11,235,True,False,0,-0.024423813391786394,-0.04296332119489424,-0.009824844393228758,,
2,structure_random__leader_style_High_Fully_Constrained,21,0,random,High_Fully_Constrained,11,235,True,False,0,-0.7122039130783067,-1.0,-0.20075274578409838,,
2,structure_random__leader_style_High_Fully_Constrained,22,1,random,High_Fully_Constrained,11,235,True,False,0,-0.18243690979265967,-0.5710109229700328,-0.05985575403930665,,
2,structure_random__leader_style_High_Fully_Constrained,23,2,random,High_Fully_Constrained,11,235,True,False,0,-0.7949501414972852,-1.0,-0.2642268051469684,,
2,structure_random__leader_style_High_Fully_Constrained,24,3,random,High_Fully_Constrained,11,235,True,False,0,-0.4689022570948415,-1.0,-0.05019375152031482,,
2,structure_random__leader_style_High_Fully_Constrained,25,4,random,High_Fully_Constrained,11,235,True,False,0,-0.01702011250386209,-0.02965294075543194,-0.0066936756528940475,,
2,structure_random__leader_style_High_Fully_Constrained,26,5,random,High_Fully_Constrained,11,235,True,False,0,-0.7581847532915151,-1.0,-0.31716919797064697,,
2,structure_random__leader_style_High_Fully_Constrained,27,6,random,High_Fully_Constrained,11,235,True,False,0,-0.2533133049516192,-0.4098249847017784,-0.1508397454753236,,
2,structure_random__leader_style_High_Fully_Constrained,28,7,random,High_Fully_Constrained,11,235,True,False,0,-0.7076791185993764,-1.0,-0.14868041296455464,,
